machine_id,machine_code,machine_name,line_code,line_name,product_family,factory_id,machine_type,vendor,install_date,criticality
53,CON_053,Conveyor-053,SNACKS_LINE_1,Snacks Line 1,Snacks,4,Conveyor,Siemens,2020-02-03,Low
54,COO_054,Cooling Tunnel-054,WAFERS_LINE_4,Wafers Line 4,Wafers,4,Cooling Tunnel,Mitsubishi,2023-01-08,High
55,MIX_055,Mixer-055,SNACKS_LINE_3,Snacks Line 3,Snacks,4,Mixer,Siemens,2016-12-05,Low
56,COO_056,Cooling Tunnel-056,SNACKS_LINE_4,Snacks Line 4,Snacks,4,Cooling Tunnel,GE,2019-12-08,High
57,COO_057,Cooling Tunnel-057,BISCUITS_LINE_1,Biscuits Line 1,Biscuits,4,Cooling Tunnel,Bosch,2024-05-29,Low
58,CON_058,Conveyor-058,BISCUITS_LINE_1,Biscuits Line 1,Biscuits,4,Conveyor,Bosch,2020-10-04,Low
59,MIX_059,Mixer-059,WAFERS_LINE_1,Wafers Line 1,Wafers,4,Mixer,ABB,2016-12-04,Low
60,COO_060,Cooling Tunnel-060,WAFERS_LINE_1,Wafers Line 1,Wafers,4,Cooling Tunnel,Siemens,2020-08-21,Medium
61,PAC_061,Packer-061,SNACKS_LINE_4,Snacks Line 4,Snacks,4,Packer,GE,2020-07-06,Medium
62,PAC_062,Packer-062,BISCUITS_LINE_2,Biscuits Line 2,Biscuits,4,Packer,Siemens,2016-02-04,Medium
63,PAC_063,Packer-063,WAFERS_LINE_4,Wafers Line 4,Wafers,4,Packer,Bosch,2022-06-03,Medium
64,COO_064,Cooling Tunnel-064,SNACKS_LINE_4,Snacks Line 4,Snacks,4,Cooling Tunnel,Bosch,2020-12-30,Medium
65,CON_065,Conveyor-065,BISCUITS_LINE_1,Biscuits Line 1,Biscuits,5,Conveyor,Siemens,2019-12-13,Low
66,COO_066,Cooling Tunnel-066,WAFERS_LINE_4,Wafers Line 4,Wafers,5,Cooling Tunnel,Mitsubishi,2020-06-24,High
67,PAC_067,Packer-067,SNACKS_LINE_2,Snacks Line 2,Snacks,5,Packer,Bosch,2019-07-07,Low
68,PAC_068,Packer-068,WAFERS_LINE_4,Wafers Line 4,Wafers,5,Packer,Mitsubishi,2024-11-08,Low
69,MIX_069,Mixer-069,BISCUITS_LINE_3,Biscuits Line 3,Biscuits,5,Mixer,GE,2020-01-09,High
70,MIX_070,Mixer-070,SNACKS_LINE_2,Snacks Line 2,Snacks,5,Mixer,Bosch,2018-11-06,Medium
71,CON_071,Conveyor-071,BISCUITS_LINE_3,Biscuits Line 3,Biscuits,5,Conveyor,Bosch,2023-05-06,Low
72,COO_072,Cooling Tunnel-072,WAFERS_LINE_3,Wafers Line 3,Wafers,5,Cooling Tunnel,ABB,2016-05-30,Low
73,OVE_073,Oven-073,BISCUITS_LINE_4,Biscuits Line 4,Biscuits,5,Oven,GE,2020-09-18,High
74,MIX_074,Mixer-074,SNACKS_LINE_2,Snacks Line 2,Snacks,5,Mixer,Siemens,2017-01-18,High
75,PAC_075,Packer-075,SNACKS_LINE_3,Snacks Line 3,Snacks,5,Packer,GE,2018-10-20,High
76,CON_076,Conveyor-076,SNACKS_LINE_1,Snacks Line 1,Snacks,5,Conveyor,Bosch,2021-04-08,Medium
77,OVE_077,Oven-077,SNACKS_LINE_3,Snacks Line 3,Snacks,5,Oven,Bosch,2015-12-31,Medium
78,MIX_078,Mixer-078,WAFERS_LINE_3,Wafers Line 3,Wafers,5,Mixer,GE,2020-08-28,High
